,Song title,Song author,Genre
40159,I'm Glad,Jennifer Lopez,Pop
40160,Light My Fire,Will Young,Pop
40162,Running Up That Hill,Within Temptation,
40163,Clocks,Coldplay,Alternative
40201,How Soon Is Now?,T.A.T.U.,
40202,Itsy Bitsy Teenie Weenie,Band Zonder Banaan En Alb,
40203,Beautiful,Snoop Dogg,Pop
40237,De Zon Op M'n Bol,Jan Van Est,
40238,Je Moet Je Bek Houwe,Gotcha,
40241,Jaleo,Ricky Martin,Pop in Spanish
40242,De 3 Biggetjes,K3,Children's Music
40243,Alice (i Want You Just For Me),Beef,
40275,All About Lovin' You,Bon Jovi,Pop
40277,Weekend,Scooter,
40279,Unchained Melody,Gareth Gates,
40280,Sunrise,Simply Red,Pop
40281,Hell Yeah,Ginuwine,
40283,Long Time,Postmen,
40316,Happy?,Intwine,
40318,Don't Let Me Down/you And I,Will Young,
40319,Husan,Bald 'n Spikey,
40321,Anyone Of Us,Gareth Gates,Pop
40323,Ignition,R. Kelly,R&B/Soul
40358,Scandalous,Mis-teeq,
40360,Life Goes On,Dj Alpha,
40362,U Make Me Wanna,Blue,Pop/Rock
40363,Sing For The Moment,Eminem,Hip-Hop/Rap
40393,Heaven,Live,
40395,Make Luv,Room 5,Dance
40401,Shape,Sugababes,Pop
40402,Heaven,Do,
40435,Can't Nobody,Kelly Rowland,R&B/Soul
40438,Ka-ching!,Shania Twain,Country
40440,Come Undone,Robbie Williams,Pop
40441,Here We Are,Idols,
40442,Sorry Seems To Be The Hardest Word,Blue & Elton John,
40443,Catch Up To My Step,Junkie XL,Electronic
40445,Girls And Boys,Good Charlotte,Alternative
40447,Laundromat,Nivea,
40451,Mobscene,Marilyn Manson,Hard Rock
40461,Springstof,DAC,
40462,Wanksta,50 Cent,Hip-Hop/Rap
40466,Waar Gaat Dit Heen?,Ali B.,
40470,How You Gonna Act Like That,"Tyrese ",
40471,Tic Toc,Klea,
40473,The Seed,Roots,
40476,Black Betty,Tom Jones,
40477,Megamix,Cosmic Gate,
40478,J'en Ai Marre,Alizee,
40480,Mama I'm Coming Home,Ozzy Osbourne,Hard Rock
40481,Lifestyles Of The Rich & Famous,Good Charlotte,Alternative
40482,Seven Nation Army,White Stripes,
40503,Free (let It Be),Stuart,
40509,Spin Around,Bad Candy,
40510,All I Have,Jennifer Lopez & LL Cool J,
40513,My Best Wasn't Good Enough,Kane,Pop
40514,Family Portrait,P!nk,Pop
40516,Beautiful,Christina Aguilera,Pop
40520,Ik Zie/helden,Xander De Buisonje,
40521,Ok,Big Brovaz,
40522,Feelin' Kinda Strange,Drumatic Twins,
40523,I Begin To Wonder,Dannii Minogue,Pop
40554,Sound Of The Underground,Girls Aloud,Pop
40559,"Bump, Bump, Bump",B2K,R&B/Soul
40562,Being Nobody,Liberty X,
40597,Big Yellow Taxi,Counting Crows & Vanessa Carlton,
40603,The One,Shakira,
40636,Be With You,Atomic Kitten,
40639,Nu Flow,Big Brovaz,Pop
40642,Mesmerize,Ja Rule,Hip-Hop/Rap
40643,It's On You,Dj Galaga,
40674,Stole,Kelly Rowland,Pop
40675,Can I Go Now,Jennifer Love Hewitt,Pop
40678,Work It,Nelly,Pop
40679,I'll Be Your Angel,Kira,Dance
40683,Living My Life,Sylver,
40715,Miss You,Aaliyah,
40719,Stronger,Sugababes,
40720,Alles,B. Ragas & T. Breugem,
40721,Heaven,Dj Sammy,
40723,Stap In Het Licht,Van Dik Hout,Pop
40754,03 Bonnie & Clyde,Jay-Z,
40759,Can't Stop,Red Hot Chili Peppers,Alternative
40762,Cry Me A River,Justin Timberlake,Pop
40763,Gossip Folks,Missy Elliott,Hip-Hop/Rap
40789,Groeten Uit Maaiveld,Acda En De Munnik,
40794,Make It Clap,Busta Rhymes,Hip-Hop/Rap
40797,Positron,Cygnus X,Dance
40798,You're A Superstar,Love INC.,
40799,Can't Stop Loving You,Phil Collins,Rock
40800,Here It Comes Again,Melanie C,Pop
40837,All I Needed,Sir,
40842,Cheeky Song (Touch My Bum),Cheeky Girls,
40843,Surrender,Laura Pausini,
40876,My Friend,Groove Armada,Dance
40877,Loneliness,Tomcraft,Dance
40879,Down Met Jou,Raymzter,
40881,Mundian To Bach Ke,Panjabi MC,House
40882,We've Got Tonight,Ronan Keating,
40883,Holding On For You,Liberty X,R&B/Soul
40914,Albino Moon,Golden Earring,Pop
40915,The Sound Of Violence,Cassius,Soundtrack
40918,I'm Gonna Getcha Good!,Shania Twain,Country
40921,Tribute,Tenacious D,Metal
40922,Yet Another Day,Armin Van Buuren,
40956,Dreamer,Ozzy Osbourne,
40957,Hey Sexy Lady,Shaggy,Pop
40959,Hidden Agenda,Craig David,Pop
40961,Objection (Tango),Shakira,Pop in Spanish
41000,Talk 2 Me,K-klass,
41001,The Last Goodbye,Atomic Kitten,Pop
41002,Bother,Stone Sour,Hard Rock
41003,Louder,G-spott,
41034,Dirrty,Christina Aguilera,Dance
41037,Freeloader,Driftwood,Dance
41038,Girlfriend,Alicia Keys,
41041,Adrenaline,Di-Rect,
41042,Naughty Girl,Holly Valance,Pop
41075,Maybe,Enrique Iglesias,
41076,Pray,Lasgo,
41081,Boys Of Summer,Dj Sammy,
41083,Die Another Day,Madonna,Pop
41114,One Mic,Nas,Hip-Hop/Rap
41116,Like I Love You,Justin Timberlake,
41118,To France,Novaspace,
41120,Goodbye's (The Saddest Word),Celine Dion,
41153,Just Like A Pill,P!nk,Pop
41154,Work It,Missy Elliott,Hip-Hop/Rap
41156,Zolang,Gordon & Re-play,
41157,Promise,Krezip,
41161,Thug Lovin',Ja Rule,Hip-Hop/Rap
41163,Skin On Skin,Sarah Connor,Pop
41196,Move Your Feet,Junior Senior,Dance
41198,Put The Needle On It,Dannii Minogue,Pop
41203,I'm Right Here,Samantha Mumba,Pop
41232,Unbreakable,Westlife,Pop
41237,One More Try,Dj Boozywoozy,
41243,When I'm With You,Lois Lane,
41274,Denk Aan Mij,Ties,
41276,Kut Marokkanen,Raymzter,
41277,The Tide Is High,Atomic Kitten,Pop
41278,Everything,Anouk,
41279,Misunderstood,Bon Jovi,
41316,Ren Lenny Ren,Acda En De Munnik,
41318,Come Into My World,Kylie Minogue,Electronic
41322,Cafe Del Mar,Energy 52,Techno
41355,Gangsta Lovin',Eve & Alicia Keys,
41359,Addictive,Truth Hurts,Hip-Hop/Rap
41362,Only You,Jan Wayne,
41363,Shed My Skin,D-note,
41394,Cleanin' Out My Closet,Eminem,Hip-Hop/Rap
41395,Life Goes On,LeAnn Rimes,
41397,Round Round,Sugababes,Pop
41399,Denis,Georgina,
41401,Just A Little More Love,David Guetta,Pop
41402,One Love,Blue,Pop/Rock
41403,Dance 4 Me Baby,Kelvin,Dance
41442,No One Knows,Queens Of The Stone Age,
41472,Happy,Ashanti,Hip-Hop/Rap
41476,Keep This Fire Burning,Robyn,Dance
41479,You Didn't Expect That,Billy Crawford,Pop
41480,Hold On To The World,Kane,Rock
41481,I Begin To Wonder,J.C.A.,
41483,Just The Way You Are,Milky,Dance
41509,I Need A Girl,P. Diddy,Hip-Hop/Rap
41514,One Nite Stand,Sarah Connor,
41515,I'm Gonna Be Alright,Jennifer Lopez,R&B/Soul
41517,Down Boy,Holly Valance,Pop
41522,Down 4 U,Irv Gotti,
41523,The Zephyr Song,Red Hot Chili Peppers,Alternative
41552,Got To Have Your Love,Liberty X,Pop
41553,You Can Say,Krezip,
41556,Get Over You,Sophie Ellis Bextor,
41558,Tu Es Foutu,In Grid,
41559,The Answer Is Yes,Romeo,
41586,I'm Alive,Celine Dion,
41587,Because The Night,Jan Wayne,
41594,I Belong,Jive Jones,
41597,The Anthem 2002,Sensation,Trance
41599,Safe From Harm,Narcotic Thrust,Dance
41600,Nessaja,Scooter,Dance
41601,What You Got,Abs,
41602,Gimme The Light,Sean Paul,Pop
41631,Starry Eyed Surprise,Paul Oakenfold,Dance
41634,"Voyage, Voyage",Nightflyer,
41637,Adrienne,Calling,
41641,Why'd You Lie To Me,Anastacia,Pop
41642,It Just Won't Do,Tim Deluxe,House
41643,Fantasy,Appleton,
41674,E,Drunkenmunky,
41676,Boys,Britney Spears,Pop
41680,Too Bad,Nickelback,Rock
41683,Voel De Vibe,Brainpower,Hip-Hop/Rap
41718,Hot In Herre,Nelly,Pop
41719,Selfish,Sita,
41722,I Surrender,K-otic,
41723,Just A Little,Liberty X,Pop
41756,A Thousand Miles,Vanessa Carlton,Singer/Songwriter
41759,Diving,4 Strings,
41761,Perdono,Tiziano Ferro,Pop
41762,She Hates Me,Puddle Of Mudd,
41763,Luv Da Sunshine,Intenso Project,Dance
41780,By The Way,Red Hot Chili Peppers,Alternative
41794,Desenchantee,Kate Ryan,Pop
41797,Love Don't Let Me Go,David Guetta,Electronic
41831,Rainy Dayz,Mary J. Blige,R&B/Soul
41833,Underneath Your Clothes,Shakira,Pop in Spanish
41838,She Moves (la La La),Karaja,
41874,Ik Ben Niet Te Stoppe,Def Rhymz,
41876,If Tomorrow Never Comes,Ronan Keating,Pop
41878,Time After Time,Novaspace,
41881,Here I Am,Bryan Adams,Rock
41882,Roll On/this Is How We Do It,Mis-teeq,
41883,"My Neck, My Back",Khia,Hip-Hop/Rap
41913,Selina,Grad Damen,
41917,Free,Di-Rect,
41919,All Or Nothing,O-Town,Pop
41920,Without Me,Eminem,Hip-Hop/Rap
41921,When You Think About Me,Billy Crawford,Pop
41922,I Save The Day,Move-it!,
41954,It Takes More,Ms Dynamite,
41955,Mooie Dag,Blof,
41959,Sweet Freedom,Safri Duo,
41961,Feest,K 3,
41962,Zij,Marco Borsato,Pop
41963,Niemand,Re-play,
41997,Summer In The City,Soulvation,
41998,Work It Out,Beyonce Knowles,
41999,Murder On The Dancefloor,Sophie Ellis Bextor,
42000,What's Luv?,Fat Joe & Ashanti,
42037,Dansplaat,Brainpower,Hip-Hop/Rap
42042,When You Look At Me,Christina Milian,Pop
42043,Two Wrongs (don't Make It Right),Wyclef Jean,R&B/Soul
42071,Falling,K-otic,
42072,Zomer Op Je Radio,Leona,Pop
42074,Don't Let Me Get Me,P!nk,Pop
42076,Believe In Me,Lenny Kravitz,
42079,Music Is The One-t Odc,One-T,Pop
42083,The Rising,Bruce Springsteen,Rock
42113,4 My People,Missy Elliott,Hip-Hop/Rap
42117,Love At First Sight,Kylie Minogue,Rock
42121,Dove (i'll Be Loving You),Moony,House
42122,Dance,Dance Nation,
42154,Rain Down On Me,Kane,Rock
42157,Mother Earth,Within Temptation,Rock
42159,Duck Toy,Hampenberg,Dance
42161,Love To See You Cry,Enrique Iglesias,Latino
42163,Baby's Got A Temper,Prodigy,
42194,Holiday,Mad'house,
42201,Ga In Mijn Schoenen Staan,De Dijk,Pop
42234,Freak Like Me,Sugababes,Pop
42235,It's Ok!,Atomic Kitten,Pop
42236,I Love Rock And Roll,Britney Spears,Pop
42243,Jumpin' Around,Dj Boozywoozy,
42282,Trackin',Billy Crawford,Pop
42283,Boom,Anastacia,
42306,At Your Service,G. Joling & J. Rietman,
42313,Toveren,K3,Children's Music
42316,Hero,Chad Kroeger,
42317,Leap Of Faith,David Charvet,
42318,"So, I Begin",Galleon,Pop
42320,No More Drama,Mary J. Blige,R&B/Soul
42322,Bop Bop Baby,Westlife,Pop
42355,"Whenever, Wherever",Shakira,Pop in Spanish
42357,Lethal Industry,Tiesto,
42358,Me Julie,Ali G & Shaggy,Reggae
42362,Girlfriend,NSync,
42363,One Step Away,Dj Jurgen,
42364,Oops (oh My),Tweet,R&B/Soul
42395,One Day In Your Life,Anastacia,Pop
42397,"Me, Myself & I",Jive Jones,
42401,Sunglasses At Night,Tiga & Zyntherius,
42402,Punk,Ferry Corsten,Trance
42432,Me & You,Belle Perez & Jody Bernal,
42435,Like A Prayer,Mad'house,
42436,Escape,Enrique Iglesias,Latino
42437,The World's Greatest,R. Kelly,R&B/Soul
42438,From Sarah With Love,Sarah Connor,Pop
42441,Wherever You Will Go,Calling,
42442,Born To Bounce,Brooklyn Bounce,Dance
42444,One Step Too Far,Faithless & Dido,
42469,Put Your Hands Up For Pierre,Red & White Crowd,Pop
42476,Always On Time,Ja Rule,Hip-Hop/Rap
42480,The Riddle,Gigi D'Agostino,Dance
42482,U Turn,Usher,
42483,Awakening,Rank 1,
42484,Hard To Say I'm Sorry,Aquagen,
42516,A New Day Has Come,Celine Dion,
42519,Ain't It Funny,Jennifer Lopez,R&B/Soul
42523,Youth Of The Nation,P.O.D.,Rock
42524,Adios Nonino,Carel Kraayenhof,
42556,Bohemian Like You,Dandy Warhols,
42557,Inside My Head,Di-Rect,
42562,How You Remind Me,Nickelback,Rock
42563,Break Ya Neck,Busta Rhymes,Hip-Hop/Rap
42590,Contagious,Isley Brothers & Ronald Isley,
42595,Take Me Away (Into The Night),4 Strings,Dance
42597,My Culture,Giant Leap,
42598,Simulated,Marco V,Trance
42600,"I'm Not A Girl, Not Yet A Woman",Britney Spears,Pop
42601,Ice Queen,Within Temptation,Rock
42602,Shine,Rosemary' Sons,
42603,K.i.t.a. (bring It On),E-Life,
42604,Ready,Silkstone,
42636,Nasty Girl,Destiny's Child,R&B/Soul
42639,In Your Eyes,Kylie Minogue,Pop
42642,Hope,Shaggy,
42680,Freeek!,George Michael,Pop
42682,Rock The Boat,Aaliyah,R&B/Soul
42683,World Of Our Own,Westlife,Pop
42684,Point Of View,DB Boulevard,House
42716,Bubbelbad,Def P,
42722,Blauwe Ruis,Blof,
42723,Close Cover,Minimalistix,Dance
42753,Hello,Sita,
42755,What If,Kate Winslet,Pop
42757,Everywhere,Michelle Branch,Pop
42758,Standing Still,Jewel,Pop
42759,In The End,Linkin Park,
42799,Paid My Dues,Anastacia,Pop
42801,Party Affair,Dj Boozywoozy,
42802,Lopen Op Het Water,Marco En Sita,
42836,L'amour Toujours,Gigi D'Agostino,Hardcore
42840,Superman (It's Not Easy),Five For Fighting,
42842,We Know What You Did,Svenson & Gielen,Trance
42875,Hey Baby,No Doubt,Pop
42876,Weet Dat Ik Van Je Hou,Gordon & Re-play,
42877,Gotta Get Thru This,Daniel Bedingfield,Rock
42878,Club Bizarre,Brooklyn Bounce,Dance
42879,Resurrection,"PPK ",
42880,Let It Be,Kane,
42884,In Too Deep,"Sum 41 ",
42908,Ugly,Bubba Sparxxx,Hip-Hop/Rap
42912,Sexual Guarantee,Alcazar,Pop
42914,A Woman's Worth,Alicia Keys,R&B/Soul
42917,On The Radio (Remember The Day),Nelly Furtado,Pop
42920,Got Ur Self A,Nas,Hip-Hop/Rap
42924,Please Save Me,Sunscreem Vs Push,
42957,Somethin' Stupid,Robbie Williams & Nicole Kidman,Rock
42959,L.o.i.s.,Dj Melvin,
42962,Alive,P.O.D.,
42963,It's Love (trippin'),Goldtrix Pts Andrea Brown,
42964,The Whole World,Outkast & Killer Mike,
42998,Zij Maakt Het Verschil,De Poema's,Pop
42999,Happy,Sita,
43000,Elke Stap,Lloyd,
43004,Dance For Me,Mary J. Blige,
43035,Overprotected,Britney Spears,Pop
43036,Hero,Enrique Iglesias,Latino
43040,I'm Real,Jennifer Lopez,R&B/Soul
43042,Houdoe De Kassameisjes,De Vliegende Panters,
43044,The Taste Of Summer,Sonic Inc.,
43079,Who Do You Love Now,Riva & Dannii Minogue,
43081,Ik Wil Met Je Dansen,Grad Damen,Pop
43083,Clear Blue Water,Oceanlab,
43084,She (A Song For Maxima),Rene Froger,Pop
43108,Godd,Marco V,Techno
43115,Living It Up,Ja Rule & Case,
43117,Country Roads,Hermes House Band,Pop
43124,Nog Een Keer,Volumia!,
43155,Walk On,U2,Pop
43160,Overcome,Live,
43161,Bad Intentions,Dr. Dre,Soundtrack
43163,Something,Lasgo,Dance
43164,Tarantula,Faithless,Dance
43195,Dichterbij Dan Ooit,Blof,
43197,Crying At The Discoteque,Alcazar,Pop
43199,Emotion,Destiny's Child,R&B/Soul
43201,Yo Quiero Bailar,Georgina,
43202,Queen Of My Heart,Westlife,Pop
43211,Days Of Christmas,Destiny's Child,Christmas: R&B
43237,Access,Dj Jose,
43239,You Are,Atomic Kitten,
43242,What Would You Do?,City High,R&B/Soul
43244,Where's Your Head At?,Basement Jaxx,Electronic
43277,Chop Suey,System Of A Down,Hard Rock
43278,Son Of A Gun,Janet Jackson,Pop
43280,Smooth Criminal,Alien Ant Farm,Hard Rock
43284,Sick Cycle Carousel,Lifehouse,Rock
43316,C.o.s.t.a.,Costa Crew,
43322,Fallin',Alicia Keys,R&B/Soul
43323,More Than A Woman,Aaliyah,R&B/Soul
43324,The Music's No Good Without You,Cher,Dance
43352,Blub... Oma's Aan De Top,K3,
43355,I'm A Slave 4 U,Britney Spears,Pop
43361,Because I Got High,Afroman,Hip-Hop/Rap
43363,Fight Music,D12,Pop
43364,What's Going On,All Star Tribute,Pop
43395,Rapture,IIO,
43396,Family Affair,Mary J. Blige,R&B/Soul
43401,Dreams,Jody Bernal,
43404,Urban Train,Tiesto,
43436,Heb Ik Jou...,Grad Damen,
43439,U Got It Bad,Usher,
43440,You Rock My World,Michael Jackson,Pop
43441,Follow Me,Uncle Kracker,Country
43444,Forgiven,Sylver,
43482,Hit 'em Up Style (oops!),Blu Cantrell,R&B/Soul
43516,Drops Of Jupiter (Tell Me),Train,Pop
43517,Let Me Blow Ya Mind,Eve & Gwen Stefani,
43520,Sunshine,Dance Nation,
43521,Infected,Barthezz,Dance
43522,Children,Twarres,
43523,So Glad You Made It,Kane,Rock
43524,Morgen Weer Een Dag,Quincy,Pop
43550,Come Along,Titiyo,Pop
43557,Daddy Dj,Daddy DJ,Dance
43560,Twisted,Svenson & Gielen,
43561,Put It On Me,"Ja Rule, Lil' Mo & Vita",
43562,Would You Be Happier,Corrs,
43563,Le Vent Nous Portera,Noir Desir,
43564,Dig In,Lenny Kravitz,Rock
43595,Hanging By A Moment,Lifehouse,Rock
43598,"Luv Me, Luv Me",Shaggy,Pop
43600,The Block Party,Lisa Left Eye Lopes,
43602,Fat Lip,"Sum 41 ",
43603,Miss California,Dante Thomas & Pras,
43636,Eternity/Road To Mandalay,Robbie Williams,Pop
43637,High,Rastafaraman,
43638,Here We Go,Klubbheads,
43640,Janeiro,Solid Sessions,Trance
43643,No Perfect World,K-otic,
43644,Bliss,Muse,Alternative
43676,Turn Off The Light,Nelly Furtado,Pop
43677,Flight 643,Tiesto,
43679,It's Been A While,Staind,Hard Rock
43682,Bad Boy For Life,P. Diddy,Hip-Hop/Rap
43683,Out Of Reach,Gabrielle,Pop
43719,Eternal Flame,Atomic Kitten,Rock
43721,'N Beetje Liefde,Frans Bauer,Pop
43722,My Way,Herman Brood,
43723,Batter Up,Nelly,Hip-Hop/Rap
43724,Where The Party At,Jagged Edge & Nelly,
43755,Elevation,U2,Pop
43756,Me Gustas Tu,Manu Chao,World
43757,Such Is Life,Rank 1,Trance
43758,Another Chance,Roger Sanchez,Pop
43759,Saturday Night Fever,DJ Monty,
43760,Simple Creed,Live,
43762,It's Over,Kurupt,
43764,Sweet Baby,Macy Gray,
43800,Castles In The Sky,Ian Van Dahl,Dance
43801,The Sound Of Goodbye,Perpetuous Dreamer,
43835,Angel,Shaggy,Pop
43836,Dance Valley,System F,
43840,Bootylicious,Destiny's Child,R&B/Soul
43843,The Real Life,Raven Maize,Dance
43844,Let's Dance,Five,
43875,U Remind Me,Usher,
43876,We Come 1,Faithless,Dance
43877,Lady Marmalade,"C. Aguilera , Mya & Pink",
43880,Dance For Me,Sisqo,
43881,Supergirl,Reamonn,Rock
43882,I Do I Do I Do,Creamy,
43883,I Really Don't Think So,K-otic,
43918,In The Air Tonite,Lil' Kim & Phil Collins,
43922,Starlight,Supermen Lovers,
43955,Purple Pills,D12,Hip-Hop/Rap
43957,Ride Wit Me,Nelly & City Spud,
43962,On The Move,Barthezz,Dance
43963,When You're Looking Like That,Westlife,Pop
43996,It's Raining Men,Geri Halliwell,Pop
44000,Babarabatiri,Gypsymen,Dance
44003,Samb-adagio,Safri Duo,Dance
44004,Perfect Gentleman,Wyclef Jean,R&B/Soul
44037,O-ayo,Lauren,
44038,Un Beso Mas,Jody Bernal,Pop
44040,Ritmo,Georgina & Janet,
44076,Whole Again,Atomic Kitten,Pop
44077,Turn The Tide,Sylver,Pop
44078,Hiphopping,Klubbheads,House
44081,N-r-g,G-spott,
44113,She Couldn't Laugh,Twarres,Pop
44118,Lift Me Up,DJ Jean,
44121,19/2000,Gorillaz,Alternative
44122,Geef Me Dat Ding!,Keeyel,
44124,Oh Yeah,Foxy Brown,
44155,Until The End Of Time,2Pac,Hip-Hop/Rap
44156,Played-A-Live,Safri Duo,Dance
44158,Moi ...lolita,Alizee,
44186,Lapdance,N.e.r.d.,
44195,Electric Avenue,Eddy Grant,
44199,Eeuwig Zou Te Kort Zijn,Volumia!,World
44202,Uptown Girl,Westlife,Pop
44203,La Passion,Gigi D'Agostino,Dance
44204,Have A Nice Day,Stereophonics,Rock
44233,Another Day In Paradise,Brandy & Ray Jay,
44235,Play,Jennifer Lopez,R&B/Soul
44237,Like This Like That,Mauro Picotto,
44238,I Was Made To Love You,Sita & Bart,
44241,Butterfly,Crazy Town,Rock
44242,Innocente,Delerium,Trance
44275,Get Ur Freak On,Missy Elliott,R&B/Soul
44276,Ameno,DJ Quicksilver,
44281,I Wanna Be A One Day Fly,One Day Fly,
44282,Thank You,Dido,
44315,Who's That Girl?,Eve,R&B/Soul
44317,I Can't Explain,K-otic,
44319,More Than That,Backstreet Boys,Pop
44320,Sorry,Judith,
44322,My Way,Limp Bizkit,
44323,Wat Een Jinx Is,Brainpower,Hip-Hop/Rap
44345,Pyramid Song,Radiohead,Alternative
44352,Few Like You,Birgit,
44357,Oochie Wally,QB's Finest & Nas,
44361,Survivor,Destiny's Child,R&B/Soul
44364,"So Fresh, So Clean",Outkast,Hip-Hop/Rap
44365,Paint The Town Red,Doja Cat,Rap
44368,Fukumean,Gunna,Hip-Hop/Rap
44370,Cruel Summer,Taylor Swift,Pop
44372,Fast Car,Luke Combs,Country
44373,Popular,"Weeknd, Playboi Carti & Madonna",
44374,Last Night,Morgan Wallen,Country
44375,Cinderella,Jking,
44376,Barbie World,"Nicki Minaj, Ice Spice & Aqua",
44378,Something In The Orange,Zach Bryan,Country
44379,Bad Idea Right?,Olivia Rodrigo,Pop
44380,Seven,Jung Kook & Latto,K-Pop
44381,Rich Men North Of Richmond,Oliver Anthony Music,Americana
44404,Telekinesis,"Travis Scott, SZA & Future",
44421,Meltdown,Travis Scott & Drake,
44430,FE!N,Travis Scott & Playboi Carti,
44434,I Know?,Travis Scott,Hip-Hop/Rap
44437,Hyaena,Travis Scott,Hip-Hop/Rap
44438,My Eyes,Travis Scott,Hip-Hop/Rap
44441,Topia Twins,"Travis Scott, Rob49 & 21 Savage",
44444,Thank God,Travis Scott,Hip-Hop/Rap
44460,Super Shy,NewJeans,K-Pop
44475,Cupid,Fifty Fifty,
44480,What It Is (Block Boy),Doechii & Kodak Black,
44484,All My Life,Lil Durk & J. Cole,
44541,Until I Found You,Stephen Sanchez & Em Beihold,Singer/Songwriter
44560,Attention,Doja Cat,Rap
44562,See You Again,Tyler The Creator & Kali Uchis,
44564,Snooze,SZA,R&B/Soul
44580,Am I Dreaming,"Metro Boomin, A$AP Rocky & Roisee",Hip-Hop/Rap
44599,Karma,Taylor Swift & Ice Spice,
44604,Say Yes To Heaven,Lana Del Rey,Alternative
44616,Snow On The Beach,Taylor Swift & Lana Del Rey,
44618,Hits Different,Taylor Swift,Pop
44663,Players,Coi Leray,Hip-Hop/Rap
44683,Never Felt So Alone,Labrinth,Pop
44704,Take It Away,L. A. B.,
44715,Double Fantasy,Weeknd & Future,
44743,Search & Rescue,Drake,Hip-Hop/Rap
44752,Sure Thing,Miguel,R&B/Soul
44759,Dreams,Fleetwood Mac,Rock
44800,All Of The Girls You Loved Before,Taylor Swift,Pop
44840,Ceilings,Lizzy McAlpine,Alternative
44841,Painting Pictures,Superstar Pride,Hip-Hop/Rap
44882,In The Air,L. A. B.,
44921,Messy In Heaven,Venbee & Goddard,
44944,Love Again,Kid LAROI,
44984,Under The Influence,Chris Brown,R&B/Soul
45043,Mr Reggae,L. A. B.,
45059,A Holly Jolly Christmas,Burl Ives,Holiday
45062,Fairytale Of New York,Pogues & Kirsty MacColl,
45094,Nobody Gets Me,SZA,R&B/Soul
45099,Blind,SZA,R&B/Soul
45138,Bad Habit,Steve Lacy,R&B/Soul
45141,Before You Leave,SIX60,Pop
45142,Big City Life,Luude & Mattafix,Dance
45153,685,"Victor J Sefo, Lisi & Mwayz",
45179,Lavender Haze,Taylor Swift,Pop
45183,Midnight Rain,Taylor Swift,Pop
45184,Super Freaky Girl,Nicki Minaj,Hip-Hop/Rap
45188,Major Distribution,Drake & 21 Savage,Hip-Hop/Rap
45189,Pussy & Millions,"Drake, 21 Savage & Travis Scott",
45192,On BS,Drake & 21 Savage,Hip-Hop/Rap
45200,Maroon,Taylor Swift,Pop
45201,Bejeweled,Taylor Swift,Pop
45204,"You're On Your Own, Kid",Taylor Swift,Pop
45219,Shirt,SZA,R&B/Soul
45259,Evergreen (You Didn't Deserve Me At All),Omar Apollo,Pop
45261,Go,Cat Burns,Singer/Songwriter
45263,Vegas,Doja Cat,Pop
45264,Sunroof,Nicky Youre & Dazy,Pop
45284,I Like You (A Happier Song),Post Malone & Doja Cat,
45299,Gangsta's Paradise,Coolio,Hip-Hop/Rap
45330,Shut Down,BlackPink,
45374,Hold Me Closer,Elton John & Britney Spears,Dance
45401,Pink Venom,BlackPink,
45423,Jimmy Cooks,Drake & 21 Savage,
45424,Wait For U,"Future, Drake & Tems",
45463,Staying Alive,"DJ Khaled, Drake & Lil Baby",
45501,TV,Billie Eilish,Alternative
45504,Are You Entertained?,Russ & Ed Sheeran,Hip-Hop/Rap
45541,Master Of Puppets,Metallica,Metal
45559,Left And Right,Charlie Puth & Jung Kook,Pop
45579,Massive,Drake,Dance
45594,Sticky,Drake,Dance
45598,Falling Back,Drake,Dance
45618,Cooped Up,Post Malone & Roddy Ricch,
45619,Matilda,Harry Styles,Pop
45637,Daylight,Harry Styles,
45640,Friday Night,King George,
45642,Little Freak,Harry Styles,Pop
45644,Pass The Dutchie,Musical Youth,Pop
45659,N95,Kendrick Lamar,Dance
45663,True Love,Kanye West & Xxxtentacion,
45664,Middle Of The Night,Elley Duhe,
45676,Die Hard,"Kendrick Lamar, Blxst & Amanda Reifer",Hip-Hop/Rap
45682,Big Energy,Latto,Hip-Hop/Rap
45684,Starlight,Dave,Hip-Hop/Rap
45691,United In Grief,Kendrick Lamar,Hip-Hop/Rap
45692,Father Time,Kendrick Lamar & Sampha,
45702,Down Under,Luude & Colin Hay,
45715,Dua Lipa,Jack Harlow,
45719,The Heart Part 5,Kendrick Lamar,Hip-Hop/Rap
45723,Freaky Deaky,Tyga & Doja Cat,Hip-Hop/Rap
45738,Thousand Miles,Kid LAROI,
45822,Ghost,Justin Bieber,Pop
45823,Tom's Diner,Annenmaykantereit & Giant Rooks,
45863,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero & Stephanie Beatriz",
45900,I'm Tired,Labrinth & Zendaya,Pop
45901,Under The Sun,L. A. B.,
45903,Boyfriend,Dove Cameron,Pop
45920,Lost,Frank Ocean,Pop
45943,Hrs And Hrs,Muni Long,R&B/Soul
45944,Here For You,Wilkinson & Becky Hill,Electronic
45980,Pushin P,"Gunna, Future & Young Thug",
46001,Controller,L. A. B.,
46041,Why Oh Why,L. A. B.,
46043,35,Ka Hao & Rob Ruha,
46044,I Am Woman,Emmy Meli,Pop
46081,Levitating,Dua Lipa,Pop
46122,I Hate U,SZA,R&B/Soul
46140,Meet Me At Our Spot,"Anxiety, Willow & Tyler Cole",
46142,All Too Well,Taylor Swift,Pop
